Unnamed: 0,game,white_king_col,white_king_row,white_rook_col,white_rook_row,black_king_col,black_king_row
191,27916,a,1,h,6,a,5
192,13552,b,1,h,6,a,1
193,6977,c,1,g,4,f,1
194,1944,d,1,g,8,f,7
195,27869,a,1,g,6,g,4
196,25585,a,1,b,1,g,4
197,2002,d,2,a,4,b,5
198,22189,b,2,a,1,b,5
199,21805,b,1,e,6,a,5
200,26377,b,1,f,1,d,2
201,18451,c,2,a,4,d,5
202,12227,d,2,g,1,d,4
203,416,b,1,e,7,f,8
204,651,b,2,f,4,f,3
205,19290,c,3,c,4,f,4
206,27880,a,1,g,7,g,4
207,22099,b,1,h,4,c,6
208,12081,d,2,d,7,c,4
209,11686,d,1,c,2,b,5
210,9547,d,2,e,4,b,4
211,21214,a,1,g,5,g,2
212,7793,d,3,f,1,g,4
213,18699,c,2,c,4,e,6
214,701,b,2,g,5,e,4
215,22421,b,2,d,8,e,3
216,21355,b,1,a,4,b,6
217,13633,b,2,d,1,b,5
218,10569,b,1,e,2,b,7
219,7558,d,3,a,3,b,3
220,11177,c,2,d,7,b,5
221,24880,d,1,f,8,b,4
222,24189,d,1,a,3,d,6
223,21651,b,1,c,8,d,1
224,26085,b,1,b,6,d,3
225,5979,d,3,a,8,g,1
226,25480,d,2,g,7,g,5
227,19365,c,3,f,4,f,6
228,27303,c,2,d,6,f,4
229,16071,d,3,a,7,d,5
230,17287,b,1,e,4,d,7
231,16164,d,3,b,4,d,6
232,9201,c,3,d,8,g,2
233,12868,d,3,h,7,a,5
234,16557,d,3,g,6,f,3
235,19866,d,1,g,6,b,8
236,27048,c,1,d,7,b,3
237,8184,d,4,e,4,b,8
238,27794,a,1,f,2,b,5
239,9296,d,1,a,7,b,8
240,2374,d,3,b,4,b,5
241,17346,b,1,f,1,b,4
242,23104,c,1,d,5,b,3
243,10575,b,1,e,4,b,3
244,26347,b,1,e,5,b,2
245,10978,c,1,f,2,h,5
246,26526,b,1,g,6,b,6
247,11265,c,2,f,2,a,8
248,13950,c,1,d,6,a,1
249,12806,d,3,h,1,a,5
250,4245,d,2,h,4,a,1
251,3910,b,2,c,2,d,1
252,3705,d,3,a,8,d,1
253,1224,c,2,d,4,d,5
254,14214,c,2,a,4,d,6
255,25783,a,1,e,3,d,5
256,638,b,2,f,2,d,2
257,4704,c,3,g,4,d,8
258,9373,d,1,f,5,a,3
259,16394,d,3,f,1,f,8
260,11490,c,3,e,1,h,4
261,11144,c,2,d,1,h,8
262,2687,d,4,f,2,h,3
263,19545,d,1,b,5,h,5
264,14603,c,2,f,3,h,5
265,5130,d,4,f,7,g,1
266,9483,d,2,c,6,g,4
267,26472,b,1,g,1,g,5
268,24490,d,1,c,1,g,3
269,4821,d,2,g,2,h,8
270,20094,d,2,b,1,b,6
271,5982,d,3,b,1,b,1
272,3984,d,1,a,4,h,2
273,4265,d,3,b,1,h,7
274,19204,c,2,h,8,h,4
275,3381,d,3,c,2,h,1
276,6187,d,3,f,8,h,2
277,21328,b,1,a,2,h,8
278,23074,c,1,d,2,h,8
279,3634,d,2,f,3,g,1
280,24240,d,1,a,6,a,4
281,25131,d,1,h,4,a,5
282,6904,c,1,b,1,a,2
283,3522,d,1,f,3,h,1
284,7767,d,3,e,5,h,7
285,7690,d,3,c,8,b,5
286,23495,c,1,h,1,b,3
287,24317,d,1,a,8,e,6
288,25662,a,1,c,2,e,6
289,2616,d,3,h,4,e,5
290,21098,a,1,d,8,h,4
291,3287,d,2,d,7,h,1
292,2638,d,4,b,1,h,1
293,12147,d,2,e,3,h,6
294,26622,b,1,h,3,h,4
295,2323,d,3,a,2,h,3
296,6440,d,4,f,2,c,2
297,4692,c,3,e,3,g,1
298,22639,c,1,a,1,g,5
299,24754,d,1,e,7,b,5
300,9199,c,3,d,8,e,2
301,11963,d,2,b,1,h,7
302,21647,b,1,c,7,e,1
303,1891,d,1,g,1,f,1
304,6119,d,3,d,6,f,1
305,20814,d,2,h,6,f,5
306,8910,c,2,c,8,f,2
307,3422,d,4,f,2,b,1
308,22461,b,2,e,7,b,5
309,20745,d,2,h,2,b,4
310,16606,d,3,h,2,b,5
311,2879,c,3,a,5,b,1
312,21080,a,1,d,3,h,8
313,17311,b,1,e,6,h,7
314,5816,d,2,a,7,h,2
315,7500,d,2,d,7,h,8
316,9355,d,1,e,4,a,8
317,3277,d,2,d,3,a,1
318,18372,c,1,h,8,b,4
319,16030,d,3,a,3,d,6
320,23747,c,2,b,7,d,6
321,27846,a,1,g,3,e,4
322,5421,c,2,a,7,e,1
323,12136,d,2,e,3,e,8
324,28005,b,1,f,2,e,4
325,23862,c,2,d,3,e,6
326,20320,d,2,c,4,e,6
327,13963,c,1,d,7,e,2
328,9134,c,3,b,6,f,1
329,616,b,2,e,4,f,3
330,15703,d,2,d,7,f,3
331,8270,d,4,g,3,d,2
332,4504,b,1,b,2,a,4
333,10324,a,1,b,4,f,1
334,10191,d,4,e,1,h,4
335,6392,d,4,e,5,c,1
336,11742,d,1,d,4,a,6
337,20895,d,3,c,7,a,5
338,11808,d,1,f,1,a,6
339,27400,d,1,c,1,d,6
340,1231,c,2,d,5,d,4
341,531,b,1,g,7,h,7
342,17635,b,2,c,2,h,3
343,9575,d,2,f,1,g,3
344,5847,d,2,c,1,f,2
345,20984,a,1,a,8,h,5
346,14711,c,2,h,2,c,8
347,7606,d,3,b,6,c,7
348,15578,d,2,b,3,c,3
349,27701,a,1,b,8,c,4
350,2862,c,2,f,8,c,1
351,12187,d,2,e,7,c,7
352,7515,d,2,f,4,g,6
353,25133,d,1,h,4,b,4
354,5802,d,2,a,2,b,2
355,15818,d,2,e,8,b,5
356,13077,d,4,e,7,b,4
357,18854,c,2,e,7,b,5
358,24891,d,1,g,1,b,3
359,23351,c,1,g,1,g,5
360,14625,c,2,f,6,g,7
361,27226,c,1,g,3,e,4
362,175,a,1,h,3,g,3
363,18075,c,1,e,1,a,3
364,21453,b,1,a,8,e,6
365,7936,d,4,a,5,f,1
366,2930,c,1,g,3,f,1
367,27847,a,1,g,3,e,5
368,6235,d,3,h,8,e,1
369,24123,d,1,a,1,e,7
370,12035,d,2,d,3,e,8
371,13365,b,1,d,6,a,7
372,15442,d,1,g,8,a,1
373,15944,d,2,h,5,a,8
374,2519,d,3,f,5,g,6
375,3147,c,1,b,4,a,1
376,18744,c,2,d,1,e,7
377,18737,c,2,c,8,e,6
378,12189,d,2,e,8,a,5
379,20218,d,2,b,7,a,4
380,26319,b,1,d,8,a,3
381,6842,b,2,g,1,h,6
382,13818,c,1,a,3,h,8
383,17395,b,1,f,6,d,1
384,1574,c,3,g,6,d,5
385,1349,c,2,f,6,g,5
386,15614,d,2,b,8,g,4
387,25419,d,2,f,6,c,5
388,10990,c,1,f,4,c,3
389,5071,d,4,c,1,h,1
390,3223,d,3,h,2,h,1
391,25440,d,2,f,7,f,3
392,265,b,1,b,8,b,7
393,13588,b,2,a,8,d,2
394,18283,c,1,g,6,c,8
395,26380,b,1,f,1,d,5
396,25911,a,1,g,7,e,2
397,19869,d,1,g,6,d,7
398,14372,c,2,d,4,d,8
399,25353,d,2,c,7,d,7
400,13083,d,4,e,8,d,5
401,6417,d,4,e,7,d,1
402,23966,c,2,g,1,e,5
403,5512,c,2,d,1,e,1
404,26872,c,1,b,4,b,6
405,23100,c,1,d,5,f,5
406,27609,d,1,g,2,e,4
407,23740,c,2,b,6,e,4
408,8161,d,4,e,1,h,2
409,26218,b,1,c,7,f,4
410,25844,a,1,e,7,f,4
411,2127,d,2,d,7,c,6
412,12850,d,3,h,5,d,6
413,14701,c,2,h,1,d,5
414,83,a,1,f,2,d,3
415,26153,b,1,c,1,d,4
416,22752,c,1,a,6,d,3
417,21464,b,1,a,8,g,6
418,3244,d,1,e,2,f,1
419,19620,d,1,d,4,f,4
420,4957,d,3,f,2,a,3
421,6824,b,2,d,7,h,1
422,28012,b,1,f,3,h,6
423,24809,d,1,f,3,b,5
424,16490,d,3,g,2,b,4
425,19571,d,1,c,5,d,3
426,16718,d,4,d,3,d,5
427,28048,b,1,g,6,d,6
428,5357,c,1,e,4,h,3
429,18411,c,2,a,2,d,4
430,25518,a,1,a,3,d,4
431,13082,d,4,e,8,g,4
432,1830,d,1,e,7,f,6
433,7070,c,2,c,8,f,6
434,18918,c,2,f,4,b,5
435,19893,d,1,h,2,b,7
436,22695,c,1,a,3,b,7
437,3019,c,3,c,8,b,1
438,19834,d,1,g,1,a,4
439,21175,a,1,f,1,a,2
440,1233,c,2,d,5,e,4
441,10366,a,1,d,4,e,3
442,15030,c,3,e,7,e,6
443,8317,a,1,a,3,e,1
444,13570,b,2,a,1,e,8
445,17283,b,1,e,4,e,3
446,424,b,1,f,1,e,2
447,18769,c,2,d,3,d,8
448,26276,b,1,d,2,g,5
449,7497,d,2,d,5,g,8
450,16797,a,1,c,1,g,8
451,14337,c,2,c,4,g,6
452,20773,d,2,h,3,g,7
453,25666,a,1,c,3,g,6
454,809,c,1,b,6,g,7
455,22203,b,2,a,2,g,5
456,22962,c,1,b,8,g,5
457,3341,d,2,g,5,g,1
458,23371,c,1,g,3,g,3
459,16024,d,3,a,3,b,5
460,16868,a,1,f,2,b,4
461,3125,d,3,d,7,d,1
462,20302,d,2,c,3,f,3
463,21717,b,1,d,6,h,5
464,23118,c,1,d,7,h,7
465,20076,d,2,a,8,h,5
466,9891,d,3,e,6,h,7
467,6034,d,3,c,2,f,2
468,14354,c,2,c,6,f,7
469,18560,c,2,b,2,e,6
470,714,b,2,g,7,g,6
471,3219,d,3,f,2,c,1
472,9418,d,2,a,2,a,8
473,6052,d,3,c,5,a,1
474,11060,c,1,h,7,a,8
475,20325,d,2,c,4,f,6
476,17541,b,1,h,8,f,8
477,1929,d,1,g,6,f,6
478,8889,c,2,c,5,f,2
479,27148,c,1,f,6,d,6
480,14186,c,2,a,1,d,3
481,3588,d,2,c,5,d,1
482,14576,c,2,e,8,d,5
483,12528,d,3,c,8,d,4
484,16128,d,3,b,2,d,5
485,2608,d,3,h,3,g,3
486,20038,d,2,a,5,g,5
487,20168,d,2,b,3,g,5
488,27359,d,1,b,6,e,3
489,6366,d,4,d,8,h,2
490,3128,d,3,e,5,h,1
491,7888,d,3,h,6,h,2
492,8101,d,4,d,1,h,7
493,15657,d,2,d,1,d,7
494,10300,d,4,h,8,d,4
495,17678,b,2,d,3,h,5
496,12591,d,3,d,6,h,7
497,17913,c,1,b,1,h,3
498,1847,d,1,f,3,h,3
499,16809,a,1,c,6,h,7
